Partition Line;********************
Full Name;ACH, Test 
Gender;Male
Age;
Birthdate;
Subject Number;
Medical Record;
Test Time;3/5/2020 2:28:26 PM
Reference;
Memo;

Time (sec.);X (sensor number);Y (sensor number);Level
39.5750;34;23;0
39.5833;88;26;2
39.5833;89;26;1
39.5833;88;27;4
39.5833;89;27;3
39.5833;88;28;5
39.5833;89;28;4
39.5833;88;29;4
39.5833;89;29;4
39.5833;89;30;2
39.5833;89;31;3
39.5833;87;27;1
39.5833;87;28;4
39.5833;87;30;3
39.5833;43;26;1
39.5833;42;28;2
39.5833;40;29;2
39.5833;34;24;0
39.5833;35;24;3
39.5833;34;25;0
39.5833;35;26;1
39.5833;36;28;0
39.5833;36;22;1
39.5917;89;25;1
39.5917;88;26;3
39.5917;89;26;4
39.5917;90;26;1
39.5917;88;27;5
39.5917;89;27;4
39.5917;90;27;3
39.5917;90;28;3
39.5917;90;29;2
39.5917;88;30;3
39.5917;89;30;3
39.5917;88;31;1
39.5917;87;27;0
39.5917;87;28;1
39.5917;87;29;1
39.5917;87;30;0
39.5917;35;26;0
39.5917;36;27;2
39.5917;37;28;3
39.6000;89;25;2
39.6000;90;25;1
39.6000;90;26;3
39.6000;91;26;2
39.6000;88;27;4
39.6000;91;27;3
39.6000;88;28;4
39.6000;91;28;2
39.6000;88;29;2
39.6000;90;29;3
39.6000;91;29;1
39.6000;88;30;2
39.6000;90;30;2
39.6000;88;31;0
39.6000;89;31;2
39.6000;90;31;1
39.6000;87;28;0
39.6000;87;29;0
39.6000;41;25;3
39.6000;35;24;2
39.6000;35;25;2
39.6000;36;27;1
39.6000;38;29;2
39.6000;35;23;2
39.6083;89;25;3
39.6083;90;25;2
39.6083;91;25;2
39.6083;88;26;2
39.6083;92;26;1
39.6083;89;26;5
39.6083;90;26;4
39.6083;91;26;3
39.6083;92;27;2
39.6083;90;27;4
39.6083;91;27;4
39.6083;90;28;4
39.6083;91;28;3
39.6083;88;29;1
39.6083;92;29;1
39.6083;91;29;3
39.6083;88;30;0
39.6083;90;30;3
39.6083;91;30;2
39.6083;89;31;1
39.6083;90;31;2
39.6083;41;25;2
39.6083;35;24;1
39.6083;36;25;3
39.6083;35;25;1
39.6083;36;26;2
39.6083;39;26;4
39.6083;36;27;0
39.6083;37;28;2
39.6083;38;28;3
39.6083;38;29;1
39.6083;36;22;0
39.6083;36;23;3
39.6083;35;23;1
39.6167;92;25;1
39.6167;90;25;3
39.6167;91;25;4
39.6167;92;26;3
39.6167;91;26;4
39.6167;92;27;4
39.6167;92;28;2
39.6167;89;28;5
39.6167;91;28;4
39.6167;92;29;3
39.6167;90;29;4
39.6167;92;30;2
39.6167;91;30;3
39.6167;89;31;0
39.6167;91;31;1
39.6167;42;24;1
39.6167;43;26;2
39.6167;36;24;3
39.6167;35;24;0
39.6167;39;24;3
39.6167;37;25;4
39.6167;35;25;0
39.6167;36;26;1
39.6167;38;26;4
39.6167;37;27;3
39.6167;37;28;1
39.6167;37;22;2
39.6167;39;22;1
39.6167;35;23;0
39.6250;92;25;3
39.6250;89;25;4
39.6250;88;26;1
39.6250;92;26;4
39.6250;89;26;4
39.6250;93;26;2
39.6250;88;27;3
39.6250;93;27;3
39.6250;88;28;3
39.6250;92;28;3
39.6250;88;29;0
39.6250;92;29;4
39.6250;91;29;4
39.6250;92;30;3
39.6250;91;30;4
39.6250;91;31;2
39.6250;40;25;2
39.6250;43;27;1
39.6250;41;28;3
39.6250;40;29;1
39.6250;40;23;4
39.6250;36;24;2
39.6250;36;25;1
39.6250;36;26;0
39.6250;37;26;3
39.6250;37;27;2
39.6250;37;28;0
39.6250;38;29;0
39.6250;39;29;1
39.6250;38;22;2
39.6250;36;23;1
39.6333;92;25;4
39.6333;89;25;3
39.6333;88;26;0
39.6333;93;26;3
39.6333;88;27;2
39.6333;88;28;2
39.6333;89;28;4
39.6333;93;28;1
39.6333;93;29;2
39.6333;89;30;2
39.6333;93;30;1
39.6333;92;31;2
39.6333;40;29;0
39.6333;40;23;3
39.6333;41;23;1
39.6333;36;24;0
39.6333;37;24;3
39.6333;38;24;3
39.6333;36;25;0
39.6333;37;25;3
39.6333;37;26;2
39.6333;37;27;1
39.6333;38;27;3
39.6333;38;28;1
39.6333;39;29;0
39.6333;37;22;0
39.6333;36;23;0
39.6333;37;23;3
39.6333;38;23;3
